YEAR,MONTH,DAY,TEMPERATURE_AVG,RADIATION
2009,07,20,17.4,19195
2009,07,21,22.5,20132
2009,07,22,21.2,14135
2009,07,23,18.2,15117
2009,07,24,17.4,15764
2009,07,25,17.8,20354
2009,07,26,18.4,21252
2009,07,27,17.1,16261
2009,07,28,17.4,20426
2009,07,29,19.9,19680
2009,07,30,17.5,18997
2009,07,31,16.4,19157
2009,08,01,21,19196
2009,08,02,18.6,15640
2009,08,03,16.2,20729
2009,08,04,19.9,23013
2009,08,05,20.7,18422
2009,08,06,21.6,24049
2009,08,07,20.3,13446
2009,08,08,18.7,14374
2009,08,09,17.8,18201
2009,08,10,18.6,19227
2009,08,11,19.6,14678
2009,08,12,19.9,16521
2009,08,13,19.5,12502
2009,08,14,17.9,18764
2009,08,15,20.7,22597
2009,08,16,19.7,16582
2009,08,17,18.1,16386
2009,08,18,18.9,21674
2009,08,19,22.6,23472
2009,08,20,24.8,17379
2009,08,21,17.7,16802
2009,08,22,16.9,18235
2009,08,23,19.8,22360
2009,08,24,20.7,18811
2009,08,25,18.9,12686
2009,08,26,18.5,17949
2009,08,27,20.4,12302
2009,08,28,17.6,14514
2009,08,29,16.3,17548
2009,08,30,15.4,15373
2009,08,31,20.3,20412
2009,09,01,19.4,10113
2009,09,02,17.4,11194
2009,09,03,16.5,10212
2009,09,04,14.6,11978
2009,09,05,16.1,12985
2009,09,06,16.2,10918
2009,09,07,18.4,17727
2009,09,08,21.3,18490
2009,09,09,17.7,7614
2009,09,10,17.7,12350
2009,09,11,16.3,13903
2009,09,12,16.5,13152
2009,09,13,13.4,7843
2009,09,14,16.1,11110
2009,09,15,16,10103
2009,09,16,16.3,6945
2009,09,17,16,12586
2009,09,18,16.8,14986
2009,09,19,18.6,14884
2009,09,20,18.7,9352
2009,09,21,16.2,11774
2009,09,22,16.8,13369
2009,09,23,16.1,7553
2009,09,24,17.1,8974
2009,09,25,13.2,13679
2009,09,26,13.6,13874
2009,09,27,14.6,12635
2009,09,28,13.6,9412
2009,09,29,16.7,8510
2009,09,30,16.1,8762
2009,10,01,14.8,7286
2009,10,02,11.6,9348
2009,10,03,12.8,6536
2009,10,04,14.4,6535
2009,10,05,13,2981
2009,10,06,15.9,6457
2009,10,07,18.8,4441
2009,10,08,14.3,6559
2009,10,09,12,7266
2009,10,10,14.8,6448
2009,10,11,13.8,5418
2009,10,12,13.9,7055
2009,10,13,11.5,4864
2009,10,14,8.9,8868
2009,10,15,7.1,9203
2009,10,16,10.4,5950
2009,10,17,10.6,6147
2009,10,18,8,7259
2009,10,19,9.7,5631
2009,10,20,8.8,7284
2009,10,21,13.5,3730
2009,10,22,11.5,4602
2009,10,23,11.3,7538
2009,10,24,13,5072
2009,10,25,13.9,6534
2009,10,26,13.6,5705
2009,10,27,11.7,6079
2009,10,28,12,6451
2009,10,29,13.3,4068
2009,10,30,10.9,6378
2009,10,31,11.7,4476
2009,11,01,13.7,3099
2009,11,02,10.9,4479
2009,11,03,9.4,4026
2009,11,04,8.7,4021
2009,11,05,9.5,3935
2009,11,06,9,3308
2009,11,07,8.5,4077
2009,11,08,6.3,4042
2009,11,09,6.6,4781
2009,11,10,8.2,4144
2009,11,11,7.9,2308
2009,11,12,8.8,4810
2009,11,13,13.7,3778
2009,11,14,14,3169
2009,11,15,11.5,3182
2009,11,16,11.7,3713
2009,11,17,10.7,2122
2009,11,18,11,2870
2009,11,19,10.9,4475
2009,11,20,12.4,3226
2009,11,21,14.1,3778
2009,11,22,12.1,3176
2009,11,23,10.7,2459
