,depth_min,depth_q1,depth_q5,depth_q25,depth_q50,depth_q75,depth_q95,depth_q99,depth_max,wwdith_min,wwdith_q1,wwdith_q5,wwdith_q25,wwdith_q50,wwdith_q75,wwdith_q95,wwdith_q99,wwdith_max,velocity_min,velocity_q1,velocity_q5,velocity_q25,velocity_q50,velocity_q75,velocity_q95,velocity_q99,velocity_max,rtime_min,rtime_q1,rtime_q5,rtime_q25,rtime_q50,rtime_q75,rtime_q95,rtime_q99,rtime_max,region
count,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,strahler1
mean,0.033679245283018834,0.04051886792452829,0.04715094339622641,0.07149999999999992,0.09171698113207546,0.11792452830188686,0.23585849056603772,0.33971698113207544,0.5328018867924528,0.567254716981132,0.5811037735849054,0.5942641509433962,0.6428301886792451,0.6834528301886792,0.7359622641509432,0.9717735849056603,1.1794150943396222,1.5655943396226415,0.034971698113207536,0.039283018867924534,0.04302830188679243,0.055075471698113186,0.06367924528301888,0.07343396226415094,0.10721698113207545,0.12984905660377363,0.16386792452830182,0.008292452830188686,0.010424528301886792,0.012594339622641502,0.01838679245283017,0.021235849056603768,0.024556603773584873,0.03153773584905658,0.03461320754716979,0.038858490566037705,strahler1
std,0.02507191453544377,0.02977286432533442,0.03431306635832844,0.050485122749653874,0.0634681404466211,0.07951995234659005,0.1466481009036677,0.201808572884918,0.30042894476656035,0.05007785582675092,0.05955852331875054,0.06873306570823966,0.10097510034403466,0.12685928703173235,0.1591045732501442,0.2933324875426833,0.40364271962135573,0.6008983081433662,0.013166666098013107,0.014773047992547673,0.01617314502334322,0.02061284764098886,0.02373847476538631,0.02739795573462841,0.03972285049882524,0.04812143220226062,0.06075149623424112,0.004669999451681576,0.005614518786499276,0.006670158564384668,0.009847959184005956,0.011456378457762095,0.0133987065393352,0.01744006035829545,0.019192543569346812,0.02162073021067437,strahler1
min,0.002,0.002,0.002,0.004,0.005,0.006,0.013000000000000001,0.02,0.035,0.503,0.504,0.505,0.507,0.51,0.512,0.527,0.54,0.569,0.01,0.011000000000000001,0.012,0.016,0.019,0.023,0.035,0.043,0.05,0.0,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,strahler1
1%,0.002,0.00205,0.00205,0.00405,0.00505,0.0061,0.014149999999999998,0.02125,0.035500000000000004,0.50305,0.50405,0.50505,0.50715,0.5101,0.51315,0.5274000000000001,0.5416000000000001,0.571,0.01005,0.012050000000000002,0.01305,0.017050000000000003,0.0201,0.0231,0.037000000000000005,0.044000000000000004,0.05109999999999999,0.0021000000000000003,0.00215,0.0031500000000000005,0.00425,0.00525,0.005350000000000001,0.007449999999999999,0.0075,0.0086,strahler1
5%,0.00425,0.00475,0.00575,0.009000000000000001,0.01125,0.014750000000000003,0.03175,0.048,0.082,0.508,0.51,0.51125,0.51725,0.52275,0.5295000000000001,0.5635,0.5965,0.66425,0.013250000000000001,0.015,0.01625,0.021,0.025,0.028249999999999997,0.041249999999999995,0.04725,0.06225,0.004,0.0052499999999999995,0.006999999999999999,0.01,0.01125,0.013000000000000001,0.017,0.019,0.021,strahler1
25%,0.017,0.021,0.024,0.037250000000000005,0.04825,0.0635,0.13325,0.19925000000000004,0.3255,0.534,0.541,0.5479999999999999,0.5742499999999999,0.5967499999999999,0.627,0.76725,0.8987499999999999,1.15125,0.023,0.026000000000000002,0.027999999999999997,0.036000000000000004,0.042,0.049,0.076,0.09625,0.12225,0.005,0.006999999999999999,0.008,0.012,0.013999999999999999,0.016,0.02,0.022000000000000002,0.025,strahler1
50%,0.026500000000000003,0.032,0.038,0.057999999999999996,0.0755,0.098,0.206,0.303,0.484,0.5534999999999999,0.5645,0.5755,0.616,0.6505,0.6965,0.9125000000000001,1.1055000000000001,1.4685000000000001,0.035,0.0395,0.044,0.055999999999999994,0.0645,0.07450000000000001,0.1095,0.134,0.17200000000000001,0.006999999999999999,0.008,0.01,0.015,0.018000000000000002,0.0205,0.026000000000000002,0.028499999999999998,0.0325,strahler1
75%,0.044750000000000005,0.054000000000000006,0.063,0.09675,0.12475,0.16075,0.32725,0.47025000000000006,0.72,0.589,0.60875,0.62675,0.6935000000000001,0.7495,0.8222499999999999,1.15425,1.4405,1.9402499999999998,0.04575,0.051,0.055999999999999994,0.07200000000000001,0.08375,0.096,0.13975,0.168,0.21075,0.009000000000000001,0.011750000000000002,0.013999999999999999,0.02,0.023,0.026000000000000002,0.034,0.037000000000000005,0.042,strahler1
95%,0.08825000000000001,0.10575000000000001,0.12275,0.18425,0.23425,0.29725,0.5305,0.72,1.09125,0.6765,0.7115,0.7454999999999999,0.8680000000000001,0.9685,1.09375,1.56125,1.9407499999999998,2.6822500000000007,0.0545,0.06075,0.06675,0.08650000000000001,0.099,0.1145,0.165,0.2,0.252,0.018000000000000002,0.02375,0.027999999999999997,0.040749999999999995,0.04675,0.054000000000000006,0.07125000000000001,0.079,0.08800000000000001,strahler1
