reach,depth_min,depth_q1,depth_q5,depth_q25,depth_q50,depth_avg,depth_q75,depth_q95,depth_q99,depth_max,wwdith_min,wwdith_q1,wwdith_q5,wwdith_q25,wwdith_q50,wwdith_avg,wwdith_q75,wwdith_q95,wwdith_q99,wwdith_max,flow_min,flow_q1,flow_q5,flow_q25,flow_q50,flow_avg,flow_q75,flow_q95,flow_q99,flow_max,rtime_min,rtime_q1,rtime_q5,rtime_q25,rtime_q50,rtime_avg,rtime_q75,rtime_q95,rtime_q99,rtime_max,velocity_min,velocity_q1,velocity_q5,velocity_q25,velocity_q50,velocity_avg,velocity_q75,velocity_q95,velocity_q99,velocity_max
109.000,0.005,0.007,0.008,0.012,0.015,0.018,0.020,0.043,0.066,0.112,0.511,0.513,0.515,0.524,0.531,0.537,0.540,0.586,0.631,0.725,4.937,6.853,8.856,18.059,27.914,44.881,43.465,153.281,306.603,748.553,0.009,0.012,0.015,0.024,0.028,0.029,0.034,0.044,0.049,0.056,0.021,0.024,0.026,0.035,0.041,0.044,0.048,0.076,0.096,0.126
11.000,0.059,0.071,0.083,0.128,0.168,0.204,0.221,0.490,0.759,1.298,2.059,2.071,2.083,2.128,2.168,2.204,2.221,2.490,2.759,3.298,1089.109,1465.552,1892.474,3856.760,5962.242,9580.841,9286.192,32726.957,65362.626,157572.406,0.002,0.003,0.003,0.005,0.006,0.006,0.007,0.009,0.010,0.011,0.106,0.119,0.131,0.170,0.199,0.210,0.232,0.346,0.421,0.533
110.000,0.024,0.029,0.034,0.052,0.067,0.079,0.087,0.181,0.266,0.427,0.547,0.558,0.567,0.603,0.634,0.658,0.674,0.862,1.032,1.353,47.273,65.919,85.197,173.862,268.528,431.907,418.315,1475.856,2947.179,7211.352,0.005,0.007,0.008,0.012,0.014,0.014,0.016,0.021,0.023,0.026,0.044,0.050,0.055,0.071,0.082,0.086,0.095,0.139,0.168,0.212
111.000,0.027,0.033,0.039,0.059,0.077,0.091,0.100,0.207,0.304,0.484,0.554,0.566,0.577,0.619,0.654,0.682,0.700,0.915,1.107,1.468,57.450,79.972,103.304,210.632,325.550,523.507,506.977,1787.962,3578.968,8718.945,0.005,0.007,0.008,0.012,0.014,0.014,0.016,0.020,0.022,0.025,0.047,0.053,0.058,0.074,0.085,0.089,0.098,0.142,0.171,0.213
112.000,0.040,0.048,0.056,0.086,0.111,0.129,0.143,0.289,0.416,0.643,0.579,0.596,0.613,0.672,0.722,0.759,0.787,1.078,1.332,1.787,59.807,83.224,107.671,219.647,339.527,545.671,528.717,1865.242,3734.332,9050.362,0.008,0.010,0.012,0.017,0.020,0.020,0.023,0.029,0.032,0.036,0.032,0.037,0.040,0.051,0.058,0.061,0.067,0.095,0.114,0.143
113.000,0.037,0.045,0.052,0.080,0.103,0.120,0.133,0.267,0.384,0.595,0.573,0.589,0.604,0.659,0.705,0.740,0.765,1.035,1.269,1.689,62.064,86.357,111.610,227.786,351.991,565.851,548.047,1934.496,3878.872,9393.513,0.007,0.009,0.011,0.015,0.018,0.018,0.020,0.026,0.028,0.032,0.037,0.041,0.045,0.057,0.066,0.069,0.076,0.110,0.132,0.168
114.000,0.031,0.037,0.044,0.067,0.087,0.102,0.112,0.231,0.336,0.529,0.561,0.575,0.587,0.634,0.673,0.703,0.725,0.962,1.171,1.557,62.062,86.311,111.670,227.654,351.817,565.861,548.190,1938.537,3873.264,9408.246,0.006,0.007,0.009,0.013,0.014,0.015,0.017,0.021,0.023,0.026,0.044,0.050,0.055,0.070,0.081,0.084,0.093,0.134,0.161,0.201
115.000,0.034,0.041,0.048,0.073,0.094,0.111,0.122,0.250,0.362,0.568,0.567,0.582,0.595,0.646,0.689,0.722,0.745,1.000,1.224,1.636,73.540,101.915,131.804,268.717,415.197,667.868,646.921,2287.362,4568.679,11103.407,0.005,0.007,0.008,0.012,0.014,0.014,0.016,0.020,0.022,0.024,0.048,0.054,0.059,0.075,0.086,0.090,0.099,0.142,0.170,0.213
116.000,0.035,0.043,0.050,0.077,0.099,0.116,0.129,0.263,0.381,0.598,0.571,0.586,0.600,0.653,0.698,0.733,0.757,1.025,1.262,1.696,78.309,108.319,140.128,285.679,441.557,710.097,687.853,2428.905,4856.292,11810.535,0.006,0.007,0.008,0.012,0.013,0.014,0.015,0.020,0.021,0.024,0.048,0.054,0.059,0.075,0.086,0.090,0.099,0.141,0.168,0.209
117.000,0.046,0.055,0.065,0.099,0.128,0.149,0.165,0.332,0.475,0.734,0.591,0.611,0.629,0.698,0.756,0.798,0.831,1.165,1.451,1.968,78.414,108.502,140.087,285.722,441.727,710.107,687.893,2427.492,4852.781,11816.966,0.008,0.010,0.011,0.016,0.018,0.018,0.021,0.026,0.028,0.032,0.037,0.041,0.045,0.056,0.064,0.067,0.073,0.102,0.122,0.152
